date,new_cases,
1/23/2020,0,
1/24/2020,1,
1/25/2020,0,
1/26/2020,3,
1/27/2020,0,
1/28/2020,0,
1/29/2020,1,
1/30/2020,0,
1/31/2020,2,7
2/1/2020,0,
2/2/2020,0,
2/3/2020,3,
2/4/2020,0,
2/5/2020,0,
2/6/2020,1,
2/7/2020,0,
2/8/2020,0,
2/9/2020,0,
2/10/2020,0,
2/11/2020,1,
2/12/2020,0,
2/13/2020,1,
2/14/2020,0,
2/15/2020,0,
2/16/2020,0,
2/17/2020,0,
2/18/2020,0,
2/19/2020,0,
2/20/2020,0,
2/21/2020,2,
2/22/2020,0,
2/23/2020,0,
2/24/2020,0,
2/25/2020,0,
2/26/2020,0,
2/27/2020,1,
2/28/2020,0,
2/29/2020,8,17
3/1/2020,7,
3/2/2020,23,
3/3/2020,19,
3/4/2020,33,
3/5/2020,77,
3/6/2020,53,
3/7/2020,166,
3/8/2020,116,
3/9/2020,75,
3/10/2020,188,
3/11/2020,365,
3/12/2020,439,
3/13/2020,633,
3/14/2020,759,
3/15/2020,234,
3/16/2020,1467,
3/17/2020,1833,
3/18/2020,2657,
3/19/2020,4494,
3/20/2020,6367,
3/21/2020,5995,
3/22/2020,8919,
3/23/2020,11152,
3/24/2020,10618,
3/25/2020,12127,
3/26/2020,17821,
3/27/2020,18591,
3/28/2020,22164,
3/29/2020,16127,
3/30/2020,22154,
3/31/2020,26381,192054
4/1/2020,35824,
4/2/2020,32280,
4/3/2020,32447,
4/4/2020,31710,
4/5/2020,28777,
4/6/2020,31993,
4/7/2020,30146,
4/8/2020,31244,
4/9/2020,36026,
4/10/2020,34181,
4/11/2020,28986,
4/12/2020,25858,
4/13/2020,27243,
4/14/2020,28512,
4/15/2020,26363,
4/16/2020,29682,
4/17/2020,33157,
4/18/2020,27349,
4/19/2020,25031,
4/20/2020,30643,
4/21/2020,25947,
4/22/2020,29967,
4/23/2020,32078,
4/24/2020,31491,
4/25/2020,30626,
4/26/2020,25897,
4/27/2020,24693,
4/28/2020,24604,
4/29/2020,26810,
4/30/2020,29507,889072
5/1/2020,34822,
5/2/2020,26647,
5/3/2020,23570,
5/4/2020,24051,
5/5/2020,24081,
5/6/2020,24373,
5/7/2020,28210,
5/8/2020,27206,
5/9/2020,24247,
5/10/2020,18703,
5/11/2020,19222,
5/12/2020,23378,
5/13/2020,20001,
5/14/2020,25877,
5/15/2020,24399,
5/16/2020,23868,
5/17/2020,18643,
5/18/2020,22384,
5/19/2020,20758,
5/20/2020,22839,
5/21/2020,25112,
5/22/2020,23922,
5/23/2020,19928,
5/24/2020,20121,
5/25/2020,19186,
5/26/2020,18696,
5/27/2020,18805,
5/28/2020,21129,
5/29/2020,24737,
5/30/2020,22717,
5/31/2020,18764,710396
6/1/2020,17838,
6/2/2020,19956,
6/3/2020,19048,
6/4/2020,27711,
6/5/2020,26181,
6/6/2020,20153,
6/7/2020,17809,
6/8/2020,16912,
6/9/2020,20324,
6/10/2020,21746,
6/11/2020,22303,
6/12/2020,25555,
6/13/2020,24136,
6/14/2020,18953,
6/15/2020,21095,
6/16/2020,24627,
6/17/2020,27079,
6/18/2020,28238,
6/19/2020,30996,
6/20/2020,31866,
6/21/2020,25859,
6/22/2020,29989,
6/23/2020,38829,
6/24/2020,36279,
6/25/2020,39357,
6/26/2020,49086,
6/27/2020,40833,
6/28/2020,42918,
6/29/2020,41518,
6/30/2020,50056,857250
7/1/2020,49330,
7/2/2020,55084,
7/3/2020,51658,
7/4/2020,46024,
7/5/2020,53950,
7/6/2020,43632,
7/7/2020,57413,
7/8/2020,60504,
7/9/2020,59832,
7/10/2020,68522,
7/11/2020,60441,
7/12/2020,60220,
7/13/2020,59625,
7/14/2020,65757,
7/15/2020,66299,
7/16/2020,70774,
7/17/2020,66422,
7/18/2020,64325,
7/19/2020,58993,
7/20/2020,60856,
7/21/2020,68295,
7/22/2020,67450,
7/23/2020,67767,
7/24/2020,74949,
7/25/2020,63755,
7/26/2020,55630,
7/27/2020,59997,
7/28/2020,64564,
